Song,Genre
Across the Universe,Rock
Act Naturally,Country
All I've Got to Do,Pop rock
All My Loving,Rock
All Together Now,Skiffle
All You Need Is Love,Pop
And Your Bird Can Sing,Psychedelia
Anna (Go to Him),Soul
Another Girl,Country rock
Any Time at All,Rock
Ask Me Why,Pop
"Baby, You're a Rich Man",Psychedelic pop
Baby's in Black,Folk rock
Back in the U.S.S.R.,Rock and roll
Bad Boy (Larry Williams song),R&B
The Ballad of John and Yoko,Rock and roll
Being for the Benefit of Mr. Kite!,Circus music
Birthday (Beatles song),Hard rock
Blackbird (Beatles song),Folk
Blue Jay Way,Psychedelia
Boys (Shirelles song),R&B
Can't Buy Me Love,Pop rock
Carry That Weight,Symphonic rock
Chains (Cookies song),R&B
Come Together,Blues rock
The Continuing Story of Bungalow Bill,Folk rock
Cry Baby Cry,Rock
A Day in the Life,Art rock
Day Tripper,Pop rock
Dear Prudence,Rock
Dig a Pony,Blues rock
Dig It (Beatles song),Rock
"Dizzy, Miss Lizzy",Rock and roll
Do You Want to Know a Secret,Pop
Doctor Robert,Rock
Don't Bother Me,Rock and roll
Don't Let Me Down (Beatles song),Blues rock
Don't Pass Me By,Country rock
Drive My Car,Rock
Eight Days a Week,Rock
Eleanor Rigby,Baroque pop
The End (Beatles song),Rock
Every Little Thing (Beatles song),Rock
Everybody's Got Something to Hide Except Me and My Monkey,Hard rock
Everybody's Trying to Be My Baby,Rock and roll
Fixing a Hole,Rock
For No One,Baroque pop
For You Blue,Country blues
From Me to You,Merseybeat
Get Back,Blues rock
Getting Better,Pop rock
Girl (Beatles song),Folk rock
Glass Onion,Psychedelic rock
Good Day Sunshine,Rock
Good Morning Good Morning,Rock
Got to Get You into My Life,Rock
Happiness Is a Warm Gun,Rock
A Hard Day's Night (song),Rock
"Hello, Goodbye",Pop
Help! (song),Folk rock
Helter Skelter (song),Hard rock
Her Majesty (song),Music hall
Here Comes the Sun,Folk-pop
"Here, There and Everywhere",Soft rock
Hey Bulldog,Psychedelic rock
Hey Jude,Pop rock
Hold Me Tight,Rock and roll
Honey Don't,Rockabilly
Honey Pie,Ragtime
I Am the Walrus,Psychedelic pop
I Call Your Name,Pop rock
I Don't Want to Spoil the Party,Country rock
I Feel Fine,Rock
I Me Mine,Rock
I Need You (Beatles song),Pop rock
I Saw Her Standing There,Rock and roll
I Should Have Known Better,Pop rock
I Wanna Be Your Man,Rock and roll
I Want to Hold Your Hand,Pop rock
I Want to Tell You,Psychedelic rock
I Want You (She's So Heavy),Blues rock
I Will,Folk pop
If I Fell,Pop
If I Needed Someone,Folk rock
I'll Be Back (song),Rock
I'll Cry Instead,Rock and roll
I'll Get You,Merseybeat
I'm a Loser,Folk rock
I'm Down,Rock and roll
I'm Happy Just to Dance with You,Rock
I'm Looking Through You,Folk rock
I'm Only Sleeping,Psychedelia
I'm So Tired,Rock
I've Just Seen a Face,Country
In My Life,Baroque pop
The Inner Light (song),Indian music
It Won't Be Long,Rock
It's All Too Much,Psychedelic rock
It's Only Love,Folk rock
Julia (Beatles song),Folk
"Komm, gib mir deine Hand / Sie liebt dich",Rock and roll
Lady Madonna,Rock and roll
Let It Be (Beatles song),pop
Little Child,Rock and roll
The Long and Winding Road,Rock
Long Tall Sally,Rock and roll
"Long, Long, Long",Psychedelic folk
Love Me Do,Merseybeat
Love You To,Indian music
Lovely Rita,Psychedelia
Lucy in the Sky with Diamonds,Psychedelia
Maggie May (folk song),Skiffle
Magical Mystery Tour (song),Psychedelic pop
Martha My Dear,Music hall
Maxwell's Silver Hammer,Pop
Mean Mr. Mustard,Rock
Michelle (song),Pop
Misery (Beatles song),Merseybeat
Money (That's What I Want),Rhythm and blues
Mother Nature's Son,Folk
The Night Before (song),Pop rock
No Reply (song),Folk rock
Norwegian Wood (This Bird Has Flown),Folk rock
Not a Second Time,Rock
Nowhere Man (song),Folk rock
"Ob-La-Di, Ob-La-Da",Pop
Octopus's Garden,Pop
Oh! Darling,Hard rock
Old Brown Shoe,Rock
One After 909,Roots rock
Only a Northern Song,Psychedelia
Paperback Writer,Hard rock
Penny Lane,Psychedelic pop
Piggies,Baroque pop
Please Mr. Postman,Soul
Please Please Me (song),Merseybeat
Polythene Pam,Rock
P.S. I Love You (Beatles song),Merseybeat
Rain (Beatles song),Psychedelic rock
Revolution (Beatles song),Hard rock
Revolution (Beatles song),Hard rock
Revolution 9,Sound collage
Rock and Roll Music,Rock and roll
Rocky Raccoon,Country
Roll Over Beethoven,Rock and roll
Run for Your Life (Beatles song),Rock and roll
Savoy Truffle,Soul
Sexy Sadie,Rock
Sgt. Pepper's Lonely Hearts Club Band (song),Psychedelic rock
Sgt. Pepper's Lonely Hearts Club Band (song),Psychedelic rock
She Came In Through the Bathroom Window,Rock
She Loves You,Rock and roll
She Said She Said,Psychedelic rock
She's Leaving Home,Baroque pop
"Komm, gib mir deine Hand / Sie liebt dich",Rock and roll
Slow Down (Larry Williams song),Rock and roll
Something (Beatles song),Rock
Strawberry Fields Forever,Psychedelic rock
Sun King (song),Art pop
A Taste of Honey (song),Jazz
Taxman,Rock
Tell Me What You See,Rock
Tell Me Why (Beatles song),Rock and roll
Thank You Girl,Merseybeat
There's a Place,Merseybeat
Things We Said Today,Rock
Think for Yourself,Pop rock
This Boy,Doo wop
Ticket to Ride,Power pop
Tomorrow Never Knows,Psychedelic rock
Two of Us (song),Folk rock
Wait (Beatles song),Folk rock
We Can Work It Out,Folk rock
What Goes On (Beatles song),Rockabilly
What You're Doing,Jangle pop
When I Get Home,Rock and roll
When I'm Sixty-Four,Pop
While My Guitar Gently Weeps,Hard rock
Why Don't We Do It in the Road?,Blues
Wild Honey Pie,Experimental pop
With a Little Help from My Friends,Pop rock
Within You Without You,Indian classical
The Word (song),Rock
Words of Love,Pop rock
Yellow Submarine (song),Children's music
Yer Blues,Blues rock
Yes It Is,Pop
Yesterday (Beatles song),Chamber pop
You Can't Do That,Rock and roll
You Know My Name (Look Up the Number),Novelty
You Like Me Too Much,Pop rock
Your Mother Should Know,Music hall
You've Got to Hide Your Love Away,Folk
