begin,end,key or silence,key
0.0,5.178,Key,A
5.178,12.783,Key,A:minor
12.783,16.598,Key,A
16.598,24.125999999999998,Key,A:minor
24.125999999999998,40.461,Key,A
40.461,48.073,Key,A:minor
48.073,51.886,Key,A
51.886,59.608000000000004,Key,A:minor
59.608000000000004,81.829,Key,A
81.829,89.559,Key,A:minor
89.559,93.465,Key,A
93.465,101.181,Key,A:minor
101.181,117.859,Key,A
117.859,125.632,Key,A:minor
125.632,131.52700000000002,Key,A
131.52700000000002,135.445,Key,A:minor
135.445,138.82299999999998,Key,A
138.82299999999998,140.547,Key,A:minor
